time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
560	90.95765	-0.05775757	119.458	-3.501941
561	90.1931	0.1681885	119.7863	-3.351128
562	91.35556	-0.02164185	119.3914	-3.717329
563	90.11914	0.2686487	118.0083	-3.280583
564	89.86352	0.06386841	118.7757	-3.385437
565	90.52757	-0.01844482	116.7068	-3.793496
566	89.72949	0.04074463	119.8087	-3.692805
567	88.5932	0.204801	119.9793	-3.423415
568	89.06719	-0.04194336	120.6907	-3.716223
569	89.04999	-0.02911011	118.2113	-3.426719
570	89.62626	-0.1387573	119.7837	-3.773706
571	89.97137	0.07356079	117.1571	-3.322532
572	90.52365	-0.07263183	118.4698	-3.519939
573	89.8381	-0.00277832	116.7199	-3.878347
574	90.24885	0.06858154	117.8568	-3.380308
575	89.54372	0.0761792	118.5901	-3.599546
576	89.16768	-0.0185437	118.4156	-3.521692
577	89.83098	-0.05652832	116.8164	-3.662436
578	90.2075	-0.1798767	116.7963	-3.377444
579	89.26003	-0.09992187	118.7297	-3.704138
580	89.3577	-0.09027344	119.1854	-3.520222
581	89.45973	-0.1305383	116.3614	-3.362869
582	89.77299	-0.0999768	117.2669	-3.377891
